,title,book_id,publication_year,ratings_count,language_code,average_rating,economics,politics,sociology,society,political-science,government,history,philosophy,theory
7382,Road Trip Rwanda: A Journey Into the New Heart of Africa,24876619,2015.0,368,,4.21,0,0,0,0,0,0,1,0,0
7388,The Magus: A Complete System of Occult Philosophy,766938,2000.0,199,,3.88,0,0,0,0,0,0,0,1,0
7431,Life with Picasso,1058098,1989.0,120,,4.04,0,0,0,0,0,0,1,0,0
7432,Will the Real Heretics Please Stand Up: A New Look at Today's Evangelical Church in the Light of Early Christianity,261086,,148,,4.19,0,0,0,0,0,0,1,1,0
7435,The Quest for El Cid,261089,1991.0,121,eng,3.76,0,0,0,0,0,0,1,0,0
7440,Castles in the Air: The Restoration Adventures of Two Young Optimists and a Crumbling Old Mansion,341114,2005.0,313,,3.98,0,0,0,0,0,0,1,0,0
7457,The New Inquisition: Irrational Rationalism and the Citadel of Science,137037,1986.0,306,,3.99,0,0,0,0,0,0,0,1,0
7458,The Spontaneous Fulfillment of Desire: Harnessing the Infinite Power of Coincidence,137038,2003.0,3397,,4.1,0,0,0,0,0,0,0,1,0
7466,The Twilight of American Culture,29399,2001.0,490,,3.82,0,1,0,0,0,0,1,0,0
7471,The Last Stand of the Tin Can Sailors: The Extraordinary World War II Story of the U.S. Navy's Finest Hour,820967,,122,,4.3,0,0,0,0,0,0,1,0,0
7505,Tomboy Bride: A Woman's Personal Account of Life in Mining Camps of the West,332850,1977.0,498,,4.01,0,0,0,0,0,0,1,0,0
7524,The Master Key System,71316,,3398,,4.22,0,0,0,0,0,0,0,1,0
7525,Masters of the Air: America's Bomber Boys Who Fought the Air War Against Nazi Germany,71318,2006.0,1294,,4.23,0,0,0,0,0,0,1,0,0
7528,The Heart Of Buddha's Teaching,901392,1999.0,121,,4.33,0,0,0,0,0,0,0,1,0
7540,"The Fossil Hunter: Dinosaurs, Evolution, and the Woman Whose Discoveries Changed the World",6538811,,517,,3.77,0,0,0,0,0,0,1,0,0
7582,The Secret Voyage of Sir Francis Drake: 1577-1580,1306514,2003.0,186,eng,3.95,0,0,0,0,0,0,1,0,0
7586,"Basic Writings: Ten Key Essays, plus the Introduction to Being and Time",393902,1993.0,3990,eng,4.06,0,0,0,0,0,0,0,1,0
7594,We Is Got Him: The Kidnapping that Changed America,11344936,2011.0,236,,3.24,0,0,0,0,0,0,1,0,0
7607,Behind the Dream: The Making of the Speech that Transformed a Nation,9564963,,107,,4.1,0,0,0,0,0,0,1,0,0
7626,"We Two: Victoria and Albert: Rulers, Partners, Rivals",6583002,2009.0,366,en-US,3.95,0,0,0,0,0,0,1,0,0
7648,John Wayne's America: The Politics of Celebrity,79898,1997.0,102,en-US,3.67,0,0,0,0,0,0,1,0,0
7650,The Secret Life of Marilyn Monroe,8258307,,194,,4.03,0,0,0,0,0,0,1,0,0
7683,"Emotional Chaos to Clarity: How to Live More Skillfully, Make Better Decisions, and Find Purpose in Life",13585768,,184,,4.05,0,0,0,0,0,0,0,1,0
7686,Groucho: The Life and Times of Julius Henry Marx,339611,2001.0,468,,4.01,0,0,0,0,0,0,1,0,0
7699,"Sexual Ethics And Islam: Feminist Reflections on Qur'an, Hadith, and Jurisprudence",456253,2006.0,250,,4.14,0,0,0,0,0,0,0,1,0
7706,El gen egoísta. Las bases biológicas de nuestra conducta,5024302,,163,,4.12,0,0,0,0,0,0,1,1,0
7728,Vintage Fashion,1048517,2006.0,116,,4.06,0,0,0,0,0,0,1,0,0
7737,New York Diaries: 1609 to 2009,13129522,2012.0,337,en-US,3.68,0,0,0,0,0,0,1,0,0
7745,"Genghis Khan: His Conquests, His Empire, His Legacy",22928858,2015.0,181,eng,3.71,0,0,0,0,0,0,1,0,0
7749,"A Third Testament: A Modern Pilgrim Explores the Spiritual Wanderings of Augustine, Blake, Pascal, Tolstoy, Bonhoeffer, Kierkegaard, and Dostoevsky",352086,2004.0,177,,3.97,0,0,0,0,0,0,0,1,0
7774,The Big Picture: 11 Laws That Will Change Your Life,20710531,,160,,4.07,0,0,0,0,0,0,0,1,0
7827,The French Intifada: The Long War Between France and Its Arabs,17934371,2014.0,171,,3.93,0,1,0,0,0,0,1,0,0
7828,War! What Is It Good For?: Conflict and the Progress of Civilization from Primates to Robots,17934377,2014.0,523,en-GB,3.96,0,1,0,0,0,0,1,0,0
7834,Quirkyalone: A Manifesto for Uncompromising Romantics,816516,2004.0,445,,3.64,0,0,1,0,0,0,0,1,0
7842,Washington's Immortals: The Untold Story of an Elite Regiment Who Changed the Course of the Revolution,25691315,2016.0,328,eng,4.07,0,0,0,0,0,0,1,0,0
7844,Unwanted Advances: Sexual Paranoia Comes to Campus,32497588,2017.0,228,,3.93,0,1,1,0,0,0,0,0,0
7857,In Defense of Food: An Eater's Manifesto,6139113,2009.0,2889,en-US,4.07,0,1,1,0,0,0,0,0,0
7860,Wonderful Life: The Burgess Shale and the Nature of History,36475,1990.0,7592,eng,4.11,0,0,0,0,0,0,1,0,0
7891,"Since Yesterday: The 1930's in America, September 3, 1929 to September 3, 1939",685105,1986.0,184,,3.94,0,0,0,0,0,0,1,0,0
7912,The Lucifer Effect: Understanding How Good People Turn Evil,980070,2008.0,439,eng,3.94,0,0,1,0,0,0,0,1,0
7941,Our Story,25720448,,644,,4.03,0,0,0,0,0,0,1,0,0
7942,A Modern History of Japan: From Tokugawa Times to the Present,138530,2003.0,360,eng,3.76,0,0,0,0,0,0,1,0,0
7946,A Question of Choice,353650,,160,,4.12,0,1,0,0,0,0,1,0,0
7953,A History of Interior Design,935938,2004.0,129,,4.05,0,0,0,0,0,0,1,0,0
7957,My Dangerous Desires: A Queer Girl Dreaming Her Way Home,280637,2000.0,395,en-GB,4.12,0,0,0,0,0,0,1,0,1
7965,The Kingdom of Matthias: A Story of Sex and Salvation in 19th-Century America,217248,1995.0,488,,3.66,0,0,0,0,0,0,1,0,0
8002,The Big Lie: Exposing the Nazi Roots of the American Left,35524941,,163,,4.46,0,1,0,0,0,0,1,0,0
8032,An Everlasting Meal: Cooking with Economy and Grace,12378077,2011.0,162,eng,4.16,1,0,0,0,0,0,0,0,0
8033,The Idolatry of God: Breaking Our Addiction to Certainty and Satisfaction,13547519,2013.0,607,eng,3.88,0,0,0,0,0,0,0,1,0
8035,How God Became King: The Forgotten Story of the Gospels,12968770,2012.0,1289,,4.26,0,0,0,0,0,0,1,0,0
8049,Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,281085,,168,,4.15,1,0,0,0,0,0,1,0,0
8054,American Lion: Andrew Jackson in the White House,6409343,2009.0,379,,3.77,0,0,0,0,0,0,1,0,0
8076,Cowboys and Indies: The Epic History of the Record Industry,18404238,2014.0,138,,3.72,0,0,0,0,0,0,1,0,0
8077,When Britain Burned the White House: The 1814 Invasion of Washington,18404239,2014.0,121,eng,3.82,0,0,0,0,0,0,1,0,0
8094,"Krakatoa: The Day the World Exploded: August 27, 1883",972389,2003.0,284,eng,3.86,0,0,0,0,0,0,1,0,0
8105,The Unfolding Of Language,714076,,159,eng,4.18,0,0,1,0,0,0,1,0,0
8136,On Death and Dying,5593151,2009.0,950,eng,4.15,0,0,1,0,0,0,0,1,0
8142,Messy: The Power of Disorder to Transform Our Lives,28815513,2016.0,837,,3.89,1,0,1,0,0,0,0,0,0
8183,The Trouble With Physics,782057,2007.0,178,en-CA,3.97,0,0,0,0,0,0,1,1,0
8194,What Do You Care What Other People Think?: Further Adventures of a Curious Character,10916738,2011.0,339,eng,4.28,0,0,0,0,0,0,1,1,0
8236,Silence: Lectures and Writings,765651,1961.0,2276,,4.24,0,0,0,0,0,0,0,1,1
8248,The Tragedy of Great Power Politics,198361,2003.0,521,,3.96,0,1,0,0,0,0,1,0,0
8268,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,2909286,2008.0,952,,4.34,0,0,0,0,0,0,1,0,0
8274,Elizabeth Leads the Way: Elizabeth Cady Stanton and the Right to Vote,2720451,,390,,4.1,0,0,0,0,0,0,1,0,0
8288,The Unsettlers: In Search of the Good Life in Today's America,30024726,2017.0,510,,3.84,0,0,0,0,0,0,1,0,0
8297,Three Shots Rang Out: The JFK Assassination 50 Years,18878015,2013.0,125,eng,3.83,0,0,0,0,0,0,1,0,0
8307,America the Beautiful: America the Beautiful,857492,2004.0,269,,4.53,0,0,0,0,0,0,1,0,0
8308,"The Massey Murder: A Maid, Her Master and the Trial that Shocked a Nation",18163741,2013.0,853,eng,3.36,0,0,0,0,0,0,1,0,0
8309,A Concise History of Germany,974595,2004.0,255,eng,3.35,0,0,0,0,0,0,1,0,0
8326,"The Tao of Power: Lao Tzu's Classic Guide to Leadership, Influence, and Excellence [A new translation of the Tao Te Ching]",265430,,100,,4.44,0,0,0,0,0,0,0,1,0
8352,The Mystic Heart: Discovering a Universal Spirituality in the World's Religions,398051,2001.0,184,,4.1,0,0,0,0,0,0,0,1,0
8364,"Nature's Nether Regions: What the Sex Lives of Bugs, Birds, and Beasts Tell Us About Evolution, Biodiversity, and Ourselves",18667916,2014.0,141,eng,4.12,0,0,0,0,0,0,1,0,0
8377,Naked in Baghdad: The Iraq War and the Aftermath as Seen by NPR's Correspondent Anne Garrels,236699,,673,en-US,4.04,0,1,0,0,0,0,1,0,0
8378,"Stolen Innocence: My Story of Growing Up in a Polygamous Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs",2659997,2008.0,19713,,3.89,0,0,1,0,0,0,1,0,0
8395,An Autobiography,125441,1989.0,4332,,4.34,0,1,0,0,0,0,1,0,0
8406,ESPN College Football Encyclopedia: The Complete History of the Game,630049,2005.0,110,,4.38,0,0,0,0,0,0,1,0,0
8414,Thomas Jefferson,8506,2005.0,3588,,3.98,0,0,0,0,0,0,1,0,0
8427,Resolved: 13 Resolutions for LIFE,13030100,2011.0,1097,eng,4.52,0,0,0,0,0,0,1,0,0
8443,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,30333370,,105,,4.16,1,0,0,0,0,0,1,0,0
8460,Choice Theory: A New Psychology of Personal Freedom,199754,1999.0,1113,,4.01,0,0,0,0,0,0,0,1,1
8477,"Money, Possessions and Eternity",67084,2003.0,881,,4.18,1,0,0,0,0,0,0,0,0
8499,Entangled Minds: Extrasensory Experiences in a Quantum Reality,216543,,838,eng,4.02,0,0,0,0,0,0,0,1,0
8515,Sgt. Reckless: America's War Horse,22851814,,182,,4.05,0,0,0,0,0,0,1,0,0
8518,The Wise Men: Six Friends and the World They Made,10885,1997.0,2202,,4.06,0,1,0,0,0,0,1,0,0
8522,Walt Disney's Nine Old Men and the Art of Animation,147116,2001.0,102,,4.53,0,0,0,0,0,0,1,0,0
8531,Reasonable Creatures: Essays on Women and Feminism,372583,1995.0,158,eng,4.03,0,1,0,0,0,0,0,0,0
8542,The Civilization of the Renaissance in Italy,1041033,1990.0,1785,eng,3.93,0,0,0,0,0,0,1,0,0
8543,Reality Transurfing Level III: Forward to the Past,3512256,2009.0,328,,4.46,0,0,0,0,0,0,0,1,0
8569,Nourishing Broth: An Old-Fashioned Remedy for the Modern World,20454651,2014.0,307,,4.21,0,0,0,0,0,0,1,0,0
8586,Sergeant Nibley PhD: Memories of an Unlikely Screaming Eagle,399203,2006.0,187,,4.17,0,0,0,0,0,0,1,0,0
8588,"Mormonism and Early Christianity (The Collected Works of Hugh Nibley, Volume 4)",399200,,232,eng,4.19,0,0,0,0,0,0,1,0,0
8596,Pioneer Girl: The Story of Laura Ingalls Wilder,17581,2000.0,350,eng,4.15,0,0,0,0,0,0,1,0,0
8627,"The History Of The Blues: The Roots, The Music, The People",235069,2003.0,127,,3.99,0,0,0,0,0,0,1,0,0
8638,Eve Was Framed: Women and British Justice,578508,2005.0,180,eng,4.3,0,1,0,0,0,0,1,0,0
8685,The Struggle for Recognition: The Moral Grammar of Social Conflicts,1087146,1996.0,115,eng,4.11,0,0,1,0,0,0,0,1,0
8731,"Deliver Us from Evil: Defeating Terrorism, Despotism, and Liberalism",568956,2004.0,100,eng,3.42,0,1,0,0,0,0,1,0,0
8741,Deadliest Sea: The Untold Story Behind the Greatest Rescue in Coast Guard History,8711386,,153,,4.15,0,0,0,0,0,0,1,0,0
8749,In Order To Live: A North Korean Girl's Journey to Freedom,29776980,2016.0,434,,4.48,0,1,0,0,0,0,1,0,0
8757,Russia Under the Old Regime,206954,1995.0,263,eng,3.95,0,0,0,0,0,0,1,0,0
8772,Life: A Natural History of the First Four Billion Years of Life on Earth,373571,,2228,,4.05,0,0,0,0,0,0,1,0,0
8829,You Are Here: A Portable History of the Universe,6213860,2009.0,292,en-US,3.74,0,0,0,0,0,0,1,1,0
8834,Joy on Demand: The Art of Discovering the Happiness Within,27189099,2016.0,499,eng,3.97,0,0,0,0,0,0,0,1,0
8840,Medieval Cuisine,12043958,,118,,3.64,0,0,0,0,0,0,1,0,0
8848,From the Garden to the City: The Redeeming and Corrupting Power of Technology,11597901,2011.0,217,eng,3.97,0,0,0,0,0,0,1,1,0
8868,The Ohlone Way,564410,2014.0,275,en-US,4.1,0,0,0,0,0,0,1,0,0
8921,The Hemingses of Monticello,8165288,,213,eng,3.87,0,0,0,0,0,0,1,0,0
8931,The Mafia and the Machine: The Story of the Kansas City Mob,1158907,2008.0,146,,3.91,0,0,0,0,0,0,1,0,0
8938,"Mad, Bad & Dangerous to Know: The Autobiography",2060190,2007.0,1163,,4.12,0,0,0,0,0,0,1,0,0
8939,Animal: The Autobiography of a Female Body,29873632,,340,en-US,4.2,0,0,0,1,0,0,0,1,0
8943,Weavers of Revolution: The Yarur Workers and Chile's Road to Socialism,70501,1989.0,151,,3.89,0,0,0,0,0,0,1,0,0
8945,122 Zen Koans,19185336,2013.0,106,en-US,3.91,0,0,0,0,0,0,0,1,0
8946,My Mother Wears Combat Boots: A Parenting Guide for the Rest of Us,2281331,2007.0,206,,3.74,0,1,0,0,0,0,0,0,0
8966,The Chicago World's Fair of 1893: A Photographic Record,239643,1980.0,161,en-US,4.01,0,0,0,0,0,0,1,0,0
8978,The Tao of Nature,8066543,2010.0,119,,4.14,0,0,0,0,0,0,0,1,0
8982,Autobiography of Mother Jones,375667,2012.0,107,,3.98,0,1,0,0,0,0,1,0,0
9045,Business for the Glory of God: The Bible's Teaching on the Moral Goodness of Business,48973,2003.0,479,,3.87,1,0,0,0,0,0,0,1,0
9058,Dead Men Do Tell Tales,673718,1994.0,117,,4.04,0,0,0,0,0,0,1,0,0
9059,Inventing Reality: The Politics of News Media,673719,1992.0,124,,4.16,0,1,0,0,0,0,1,0,0
9112,Poking a Dead Frog: Conversations with Today's Top Comedy Writers,19859696,,1118,,4.15,0,0,0,0,0,0,1,0,0
9123,World War Z: An Oral History of the Zombie War,13533691,2013.0,446,,4.01,0,0,0,0,0,0,1,0,0
9146,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,7370934,2010.0,133,,3.83,1,0,0,0,0,0,1,0,0
9161,Castles Burning: A Child's Life in War,514939,1998.0,149,eng,4.09,0,0,0,0,0,0,1,0,0
9169,Iran Between Two Revolutions,238093,1982.0,133,en-GB,4.13,0,1,0,0,0,0,1,0,0
9172,Reporting: Writings from The New Yorker,238099,2007.0,179,,4.23,0,1,0,0,0,0,1,0,0
9184,The Algorithm Design Manual,3067234,,264,,4.34,0,0,0,0,0,0,0,0,1
9216,Winged Obsession: The Pursuit of the World's Most Notorious Butterfly Smuggler,9807199,,335,en-US,3.56,0,0,0,0,0,0,1,0,0
9247,Say It Like Obama: The Power of Speaking with Purpose and Vision,3864715,2009.0,131,,3.58,0,1,0,0,0,0,0,0,0
9257,The Alice Behind Wonderland,9278025,2011.0,467,eng,3.26,0,0,0,0,0,0,1,0,0
9286,What There Is to Say We Have Said: The Correspondence of Eudora Welty and William Maxwell,8698391,2011.0,111,eng,4.25,0,0,0,0,0,0,1,0,0
9288,The Architecture of Happiness,3234034,2008.0,578,eng,3.84,0,0,0,0,0,0,1,1,0
9306,"John Dillinger Slept Here: A Crooks' Tour Of Crime And Corruption in St Paul, 1920-1936",273954,1995.0,168,,3.95,0,0,0,0,0,0,1,0,0
9332,"Moscow, December 25th, 1991",10304147,2011.0,264,en-US,4.12,0,1,0,0,0,0,1,0,0
9350,The Majors,75648,,1203,eng,3.94,0,0,0,0,0,0,1,0,0
9355,Terrorists in Love: The Real Lives of Islamic Radicals,11113560,2011.0,252,en-US,3.88,0,1,0,0,0,0,1,0,0
9360,Beatles '66: The Revolutionary Year,28959373,2016.0,153,,4.27,0,0,0,0,0,0,1,0,0
9377,The Phenomenon of Man,232567,1976.0,916,,4.07,0,0,0,0,0,0,1,1,0
9405,Life Inside the Bubble: Why a Top-Ranked Secret Service Agent Walked Away from It All,18389145,2013.0,328,,3.49,0,1,0,0,0,0,1,0,0
9414,The Benedict Option: A Strategy for Christians in a Post-Christian Nation,31625593,2017.0,1300,eng,3.76,0,1,0,0,0,0,0,1,0
9418,"A World Undone: The Story of the Great War, 1914 to 1918",424011,2007.0,197,,4.34,0,0,0,0,0,0,1,0,0
9440,"Witness to the Revolution: Radicals, Resisters, Vets, Hippies, and the Year America Lost Its Mind and Found Its Soul",26067549,,139,en-GB,4.3,0,0,0,0,0,0,1,0,0
9453,Jesus Among Other Gods: The Absolute Claims of the Christian Message,19089856,,186,,4.19,0,0,0,0,0,0,0,1,0
9463,How to Read and Why,883365,2000.0,157,,3.59,0,0,0,0,0,0,0,1,1
9476,Detroit: An American Autopsy,17788599,2013.0,777,eng,3.95,0,1,0,0,0,0,1,0,0
9509,Simple Taoism: A Guide to Living in Balance,412803,1999.0,116,,3.56,0,0,0,0,0,0,0,1,0
9515,Gandhi,834674,2006.0,224,,4.03,0,0,0,0,0,0,1,0,0
9526,Monet,188804,1990.0,208,,4.05,0,0,0,0,0,0,1,0,0
9544,Savage Girls and Wild Boys: A History of Feral Children,272921,2004.0,250,,3.3,0,0,1,0,0,0,1,0,0
9552,"When You Come to a Fork in the Road, Take It!: Inspiration and Wisdom from One of Baseball's Greatest Heroes",808155,2001.0,291,,3.69,0,0,0,0,0,0,0,1,0
9554,The Yogi Book : I Really Didn't Say Everything I Said,808152,1999.0,250,eng,3.98,0,0,0,0,0,0,0,1,0
9570,"The Cigarette Century: The Rise, Fall, and Deadly Persistence of the Product that Defined America",407699,2007.0,236,eng,3.99,0,1,0,0,0,0,1,0,0
9590,A Guide to Old English,1457627,2001.0,203,,4.04,0,0,0,0,0,0,1,0,0
9601,"Lean In: Women, Work, and the Will to Lead",16071764,2013.0,141600,eng,3.94,0,1,1,0,0,0,0,0,0
9615,Reflections: An Oral History of Twin Peaks,22591141,2014.0,539,eng,4.18,0,0,0,0,0,0,1,0,0
9621,In Search of Ancient Gods: My Pictorial Evidence for the Impossible,975896,,151,,3.33,0,0,0,0,0,0,1,1,0
9626,Return to Titanic,319677,2004.0,200,,4.25,0,0,0,0,0,0,1,0,0
9627,Exploring the Titanic: How the Greatest Ship Ever Lost—Was Found,319674,2014.0,556,eng,4.24,0,0,0,0,0,0,1,0,0
9630,Finding the Titanic,319673,1993.0,326,,4.1,0,0,0,0,0,0,1,0,0
9636,"Jerusalem: One City, Three Faiths",133298,1997.0,690,en-US,3.92,0,1,0,0,0,0,1,0,0
9638,The Language Instinct: The New Science of Language and Mind,869677,1995.0,275,eng,4.05,0,0,1,0,0,0,0,1,0
9706,Play it Again: An Amateur Against the Impossible,17332356,2013.0,244,eng,4.16,0,0,0,0,0,0,0,0,1
9743,How to Live: A Life of Montaigne in One Question and Twenty Attempts at An Answer,7624457,2010.0,2878,,4.11,0,0,0,0,0,0,1,1,0
9769,Writing Down the Bones: Freeing the Writer Within,1113002,1998.0,119,,4.18,0,0,0,0,0,0,0,1,0
9784,Intellectuals and Race,16280863,2013.0,315,,4.38,0,1,0,0,0,0,1,0,0
9785,Color Blind: The Forgotten Team That Broke Baseball's Color Line,16280867,2013.0,134,en-US,3.94,0,0,0,0,0,0,1,0,0
9786,Masters of the Word: How Media Shaped History,16280866,,127,en-US,3.89,0,1,0,0,0,0,1,0,0
9826,On My Own Two Feet: A Modern Girl's Guide to Personal Finance,401993,2007.0,459,,3.96,1,0,0,0,0,0,0,0,0
9832,John Donne: The Reformed Soul,134026,2007.0,160,en-US,4.05,0,0,0,0,0,0,1,0,0
9853,Running Mate,31836895,2017.0,2206,eng,3.97,0,1,0,0,0,0,0,0,0
9863,"As Always, Julia: The Letters of Julia Child and Avis DeVoto: Food, Friendship, and the Making of a Masterpiece",7873989,2010.0,3391,,4.11,0,0,0,0,0,0,1,0,0
9874,"The Foundations of Western Civilization (Great Courses, #370)",1946166,,169,eng,4.2,0,0,0,0,0,0,1,1,0
9900,Reclaiming Hope: Lessons Learned in the Obama White House about the Future of Faith in America,29587715,2017.0,171,,3.92,0,1,0,0,1,0,0,0,0
9913,"The 80/10/10 Diet: Balancing Your Health, Your Weight, and Your Life, One Luscious Bite at a Time",765983,2006.0,1363,,3.99,0,0,0,0,0,0,0,1,0
9940,Living with a Wild God: A Nonbeliever's Search for the Truth about Everything,19653577,,197,,3.29,0,0,0,0,0,0,0,1,0
9954,"The Baseball: Stunts, Scandals, and Secrets Beneath the Stitches",9581478,2011.0,218,en-GB,3.44,0,0,0,0,0,0,1,0,0
9966,Catastrophe 1914: Europe Goes to War,18048241,2013.0,153,,4.04,0,0,0,0,0,0,1,0,0
9968,The Edge of the Sea,27343,,584,eng,4.25,0,0,0,0,0,0,1,0,0
9983,Superstorm: Nine Days Inside Hurricane Sandy,22291866,2014.0,130,eng,4.05,0,0,0,0,0,0,1,0,0
9987,The Heart of Things: Applying Philosophy to the 21st Century,390753,2006.0,164,,3.69,0,0,0,0,0,0,0,1,0
9989,A Bigger Message: Conversations with David Hockney,12241330,2011.0,226,,4.42,0,0,0,0,0,0,1,0,0
10016,My Story,1069012,1997.0,450,eng,3.38,0,0,0,0,0,0,1,0,0
10156,Breakout Nations: In Pursuit of the Next Economic Miracles,12953304,2012.0,1778,,4.05,1,0,0,0,0,0,0,0,0
10189,Yes! We Are Latinos: Poems and Prose About the Latino Experience,16670129,2013.0,100,,4.09,0,0,0,0,0,0,1,0,0
10201,America's Great Game: The CIA's Secret Arabists and the Shaping of the Modern Middle East,16193680,2013.0,114,,3.83,0,1,0,0,0,0,1,0,0
10225,Journalistas: 100 Years of the Best Writing and Reporting by Women Journalists,284314,2005.0,114,,3.93,0,0,0,0,0,0,1,0,0
10247,The View From Flyover Country: Essays by Sarah Kendzior,25437695,,338,,4.29,0,1,1,0,0,0,0,0,0
10250,Rape Of Nanjing And The Politics Of Public Memory,227837,1997.0,133,eng,4.08,0,1,0,0,0,0,1,0,0
10251,"Mugabe: Power, Plunder, and the Struggle for Zimbabwe's Future",1709600,2007.0,229,,3.69,0,1,0,0,0,0,1,0,0
10264,"The Medical Book: From Witch Doctors to Robot Surgeons, 250 Milestones in the History of Medicine",13584666,2012.0,121,,4.05,0,0,0,0,0,0,1,0,0
10280,Opening to Channel: How to Connect with Your Guide,575077,1987.0,1000,en-US,4.17,0,0,0,0,0,0,0,1,0
10301,"Abnormal: Lectures at the Collège de France, 1974-1975",211290,2004.0,324,eng,4.26,0,0,0,0,0,0,1,1,0
10302,"Bad Astronomy: Misconceptions and Misuses Revealed, from Astrology to the Moon Landing \Hoax\""""",23518,2002.0,4619,en-GB,4.03,0,0,0,0,0,0,1,0,1
10309,The Year of Fear: Machine Gun Kelly and the Manhunt That Changed the Nation,23847961,2015.0,206,,3.69,0,0,0,0,0,0,1,0,0
10325,"Our Bodies, Ourselves",10711352,2011.0,156,,4.34,0,0,1,0,0,0,1,0,0
10374,Ten Men Dead: The Story of the 1981 Irish Hunger Strike,228668,1997.0,502,,4.27,0,0,0,0,0,0,1,0,0
10381,The Foundations of Social Research: Meaning and Perspective in the Research Process,1471143,1998.0,120,,3.71,0,0,0,0,0,0,0,1,0
10393,"Caesar and Christ (Story of Civilization, #3)",115998,,836,en-GB,4.35,0,0,0,0,0,0,1,0,0
10402,Indians in Unexpected Places,336417,2004.0,179,eng,3.76,0,0,0,0,0,0,1,0,0
10409,Where Is God When It Hurts?,173572,2002.0,10127,en-GB,4.22,0,0,0,0,0,0,0,1,0
10426,Early Mormonism and the Magic World View,1179665,1998.0,325,,4.01,0,0,0,0,0,0,1,0,0
10427,The Mormon Hierarchy: Origins of Power,1179666,1994.0,231,,4.11,0,0,0,0,0,0,1,0,0
10433,"Funerals to Die For: The Craziest, Creepiest, and Most Bizarre Funeral Traditions and Practices Ever",17401169,2013.0,116,eng,3.64,0,0,0,0,0,0,1,0,0
10436,"Periodic Tales: A Cultural History of the Elements, from Arsenic to Zinc",19026365,,281,,3.69,0,0,0,0,0,0,1,0,0
10446,"The First Woman Doctor: The Story of Elizabeth Blackwell, M.D.",1323320,1987.0,175,,3.89,0,0,0,0,0,0,1,0,0
10477,Muhammad: Prophet and Statesman,81393,1974.0,144,en-US,3.74,0,0,0,0,0,0,1,0,0
10501,The Startup Owner's Manual: The Step-By-Step Guide for Building a Great Company,13557008,2012.0,5097,eng,4.15,1,0,0,0,0,0,0,0,0
10503,Deep Work: Rules for Focused Success in a Distracted World,28383248,,213,eng,4.19,0,0,0,0,0,0,0,1,0
10506,The Good News We Almost Forgot: Rediscovering the Gospel in a 16th Century Catechism,7350845,2010.0,535,en-US,4.22,0,0,0,0,0,0,1,0,0
10513,They Must Go,986167,,131,eng,4.14,0,1,0,0,0,0,1,0,0
10514,Buried Alive: The Biography of Janis Joplin,188148,1992.0,1235,eng,3.9,0,0,0,0,0,0,1,0,0
10528,The Man Who Couldn't Stop,25202902,2014.0,114,eng,3.81,0,0,0,0,0,0,1,0,0
10556,Washington: A Life,8255917,2010.0,30203,eng,4.09,0,0,0,0,0,0,1,0,0
10567,500 Nations: An Illustrated History of North American Indians,1293948,2002.0,460,,4.29,0,0,0,0,0,0,1,0,0
10608,The Grammar of God: A Journey into the Words and Worlds of the Bible,13087024,2015.0,222,,4.11,0,0,0,0,0,0,1,1,0
10618,Interaction of Color,16073227,2013.0,194,eng,4.03,0,0,0,0,0,0,1,0,1
10626,Trying Not to Try: The Art and Science of Spontaneity,18050134,2014.0,594,,3.7,0,0,0,0,0,0,1,1,0
10632,The French Historical Revolution,597060,1990.0,101,en-US,3.59,0,0,0,0,0,0,1,0,0
10635,Remembering Che: My Life with Che Guevara,13236911,2012.0,217,,3.71,0,0,0,0,0,0,1,0,0
10713,Balancing Act: Australia Between Recession and Renewal (Quarterly Essay #61),29354755,,100,eng,4.17,1,1,0,0,0,0,0,0,0
10721,Montgomery Clift: A Biography,95674,2004.0,589,,3.97,0,0,0,0,0,0,1,0,0
10752,The Dynasties of China: A History,643570,2003.0,138,,3.67,0,0,0,0,0,0,1,0,0
10756,History Lover's Cookbook,17561007,2012.0,144,en-GB,3.79,0,0,0,0,0,0,1,0,0
10772,"The Boys of Winter: The Untold Story of a Coach, a Dream, and the 1980 U.S. Olympic Hockey Team",434877,2005.0,1933,,4.24,0,0,0,0,0,0,1,0,0
10774,"A Manual for Writers of Term Papers, Theses, and Dissertations",142876,1996.0,357,,3.94,0,0,0,0,0,0,1,0,0
10781,"The Decline and Fall of the Roman Empire, vol. 4-6: Volumes 4, 5, and 6",937913,1994.0,115,eng,4.4,0,0,0,0,0,0,1,0,0
10789,The Discovery of Insulin,1290513,2007.0,138,en-GB,4.04,0,0,0,0,0,0,1,0,0
10792,"Playbook 2012: Inside the Circus--Romney, Santorum and the GOP Race (Politico Inside Election 2012)",13536779,2012.0,108,,3.41,0,1,0,0,0,0,0,0,0
10796,Extra Lives: Why Video Games Matter,7059033,2010.0,2558,eng,3.55,0,0,1,0,0,0,1,0,0
